Program_Name,URL
Earth and Environmental Systems,https://future.utoronto.ca/undergraduate-programs/earth-and-environmental-systems/
Earth Science,https://future.utoronto.ca/undergraduate-programs/earth-sciences/
East Asian Studies,https://future.utoronto.ca/undergraduate-programs/east-asian-studies/
Ecology and Evolution,https://future.utoronto.ca/undergraduate-programs/ecology-and-evolution/
Economics,https://future.utoronto.ca/undergraduate-programs/economics/
Economics and Mathematics,https://future.utoronto.ca/undergraduate-programs/economics-and-mathematics/
Education Studies,https://future.utoronto.ca/undergraduate-programs/education-studies/
Electrical Engineering,https://future.utoronto.ca/undergraduate-programs/electrical-engineering/
Engineering Business,https://future.utoronto.ca/undergraduate-programs/engineering-business/
Engineering Science,https://future.utoronto.ca/undergraduate-programs/engineering-science/
English,https://future.utoronto.ca/undergraduate-programs/english/
English Language Linguistics,https://future.utoronto.ca/undergraduate-programs/english-language-linguistics/
English Literature,https://future.utoronto.ca/undergraduate-programs/english-literature/
English/Chinese Translation,https://future.utoronto.ca/undergraduate-programs/english-chinese-translation/
Environment and Behaviour,https://future.utoronto.ca/undergraduate-programs/environment-and-behaviour/
Environment and Energy,https://future.utoronto.ca/undergraduate-programs/environment-and-energy/
Environment and Health,https://future.utoronto.ca/undergraduate-programs/environment-and-health/
Environment and Toxicology,https://future.utoronto.ca/undergraduate-programs/environment-and-toxicology/
Environmental Anthropology,https://future.utoronto.ca/undergraduate-programs/environmental-anthropology/
Environmental Biology,https://future.utoronto.ca/undergraduate-programs/environmental-biology/
Environmental Chemistry,https://future.utoronto.ca/undergraduate-programs/environmental-chemistry/
Environmental Chemistry (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/environmental-chemistry-health-sciences-stream/
Environmental Economics,https://future.utoronto.ca/undergraduate-programs/environmental-economics/
Environmental Engineering,https://future.utoronto.ca/undergraduate-programs/environmental-engineering/
Environmental Ethics,https://future.utoronto.ca/undergraduate-programs/environmental-ethics/
Environmental Geography,https://future.utoronto.ca/undergraduate-programs/environmental-geography/
Environmental Geosciences,https://future.utoronto.ca/undergraduate-programs/environmental-geosciences/
Environmental Geosciences (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/environmental-geosciences-health-sciences-stream/
Environmental Law and Policy,https://future.utoronto.ca/undergraduate-programs/environmental-law-and-policy/
Environmental Management,https://future.utoronto.ca/undergraduate-programs/environmental-management/
Environmental Physics,https://future.utoronto.ca/undergraduate-programs/environmental-physics/
Environmental Science,https://future.utoronto.ca/undergraduate-programs/environmental-science/
Environmental Science (Health Sciences Stream),https://future.utoronto.ca/undergraduate-programs/environmental-science-health-sciences-stream/
Environmental Studies,https://future.utoronto.ca/undergraduate-programs/environmental-studies/
Estonian Studies,https://future.utoronto.ca/undergraduate-programs/estonian-studies/
